No.,"(x,y)",1,2,3
273,"3,10",-63,-58,-41
274,"3,10",-58,-61,-43
275,"6,8",-50,-64,-46
276,"6,8",-49,-64,-46
277,"6,8",-50,-64,-45
278,"6,8",-50,-57,-43
279,"6,8",-51,-57,-43
280,"6,8",-53,-57,-44
281,"6,8",-54,-63,-44
282,"6,8",-54,-65,-44
283,"6,8",-50,-65,-44
284,"6,8",-51,-65,-45
285,"6,8",-50,-65,-45
288,"7,9",-52,-65,-49
289,"7,9",-51,-58,-44
290,"7,9",-54,-61,-46
291,"7,9",-54,-59,-45
292,"7,9",-57,-61,-42
293,"7,9",-54,-61,-46
294,"7,9",-55,-61,-45
295,"7,9",-53,-69,-46
296,"7,9",-56,-60,-45
297,"7,9",-60,-60,-45
298,"7,9",-57,-60,-45
299,"7,9",-51,-60,-44
300,"7,9",-55,-60,-46
301,"7,9",-55,-62,-46
302,"6,10",-53,-56,-42
303,"6,10",-53,-54,-42
304,"6,10",-51,-55,-42
305,"6,10",-51,-55,-42
306,"6,10",-52,-60,-42
307,"6,10",-54,-58,-44
308,"6,10",-57,-58,-41
309,"6,10",-57,-58,-42
310,"6,10",-56,-57,-41
311,"6,10",-56,-54,-48
312,"6,10",-55,-57,-45
313,"6,10",-57,-57,-46
314,"6,10",-56,-55,-45
315,"9,8",-48,-56,-41
316,"9,8",-48,-56,-42
317,"9,8",-49,-53,-42
318,"9,8",-51,-55,-42
319,"9,8",-52,-57,-42
320,"9,8",-51,-57,-43
321,"9,8",-51,-58,-44
322,"9,8",-51,-56,-44
323,"9,8",-51,-57,-44
324,"9,8",-50,-62,-47
325,"9,8",-53,-57,-50
326,"9,8",-52,-59,-45
327,"9,8",-51,-58,-45
328,"13,8",-57,-60,-54
329,"13,8",-57,-61,-55
330,"13,8",-51,-61,-56
331,"13,8",-53,-62,-57
332,"13,8",-56,-65,-59
333,"13,8",-57,-66,-58
334,"13,8",-54,-60,-56
335,"13,8",-55,-56,-59
336,"13,8",-55,-56,-55
337,"13,8",-55,-62,-60
338,"13,8",-52,-62,-56
339,"13,8",-52,-59,-57
340,"13,8",-53,-60,-58
341,"11,9",-52,-61,-53
342,"11,9",-48,-58,-48
343,"11,9",-50,-57,-51
344,"11,9",-49,-58,-54
345,"11,9",-51,-58,-54
346,"11,9",-46,-58,-50
347,"11,9",-52,-58,-52
348,"11,9",-49,-59,-53
349,"11,9",-49,-55,-53
350,"11,9",-56,-55,-50
351,"11,9",-56,-58,-51
352,"11,9",-50,-58,-51
353,"12,10",-53,-63,-47
354,"12,10",-52,-63,-55
355,"12,10",-52,-62,-46
356,"12,10",-49,-64,-41
357,"12,10",-50,-64,-56
358,"12,10",-47,-66,-42
359,"12,10",-52,-66,-59
360,"12,10",-53,-66,-55
361,"12,10",-45,-60,-50
362,"12,10",-51,-58,-52
363,"12,10",-53,-63,-55
364,"12,10",-53,-76,-45
365,"12,10",-46,-76,-57
366,"11,11",-51,-59,-46
367,"11,11",-49,-59,-44
368,"11,11",-49,-69,-45
369,"11,11",-50,-63,-45
370,"11,11",-50,-64,-46
371,"11,11",-48,-62,-45
372,"11,11",-48,-64,-46
373,"11,11",-48,-63,-46
374,"11,11",-49,-63,-45
375,"11,11",-47,-64,-47
376,"11,11",-49,-64,-46
377,"11,11",-49,-64,-45
378,"12,13",-60,-61,-58
379,"12,13",-59,-56,-65
380,"12,13",-58,-56,-65
381,"12,13",-56,-60,-56
382,"12,13",-55,-61,-56
383,"12,13",-58,-63,-56
384,"12,13",-55,-71,-57
385,"12,13",-55,-60,-57
386,"12,13",-57,-63,-56
387,"12,13",-57,-63,-57
388,"12,13",-56,-61,-56
389,"12,13",-56,-63,-54
390,"12,13",-57,-60,-57
391,"10,12",-53,-58,-51
392,"10,12",-53,-57,-50
393,"10,12",-57,-59,-46
394,"10,12",-51,-58,-47
395,"10,12",-53,-61,-46
396,"10,12",-54,-62,-47
397,"10,12",-53,-56,-49
398,"10,12",-53,-56,-48
399,"10,12",-51,-63,-49
400,"10,12",-53,-60,-49
401,"10,12",-56,-60,-46
402,"10,12",-47,-58,-51
